Mnemo,Value
QM_ACTIVITY,4.0
QM_DIVERSITY,4.0
QM_ECOSYSTEM,4.3
QM_PROCESS,4.2
QM_QUALITY,4.2
QM_REL_ENG,4.0
QM_SCM,4.3
QM_SUPPORT,5.0
