date,commits,authors
2014-12-30,4,2
2014-12-31,1,1
2015-01-05,6,4
2015-01-06,4,3
2015-01-07,4,2
2015-01-08,3,3
2015-01-09,3,2
2015-01-12,8,6
2015-01-13,13,3
2015-01-14,14,2
2015-01-15,14,5
2015-01-16,12,6
2015-01-18,1,1
2015-01-19,5,5
2015-01-20,4,3
2015-01-21,5,4
2015-01-22,1,1
2015-01-23,1,1
2015-01-26,3,2
2015-01-27,4,4
2015-01-28,2,2
2015-01-29,10,3
2015-01-30,6,3
2015-02-03,2,2
2015-02-04,6,4
2015-02-06,3,3
2015-02-09,7,3
2015-02-10,11,4
2015-02-11,3,2
2015-02-12,4,3
2015-02-13,1,1
2015-02-16,2,2
2015-02-17,6,3
2015-02-18,5,2
2015-02-19,4,4
2015-02-20,6,3
2015-02-23,6,4
2015-02-24,10,3
2015-02-25,9,5
2015-02-26,8,6
2015-02-27,3,1
2015-03-02,6,4
2015-03-03,3,2
2015-03-04,5,4
2015-03-05,6,4
2015-03-06,8,5
2015-03-08,1,1
2015-03-09,6,3
2015-03-10,1,1
2015-03-11,9,4
2015-03-12,1,1
2015-03-13,12,4
2015-03-16,6,2
2015-03-17,10,3
2015-03-18,8,4
2015-03-19,5,3
2015-03-20,13,7
2015-03-23,5,4
2015-03-24,9,5
2015-03-25,10,5
2015-03-26,7,5
2015-03-27,13,6
2015-03-30,13,8
2015-03-31,6,4
2015-04-01,8,4
2015-04-02,2,2
2015-04-03,1,1
2015-04-05,4,1
2015-04-07,2,2
2015-04-08,6,4
2015-04-09,6,3
2015-04-10,12,3
2015-04-13,3,3
2015-04-14,3,2
2015-04-15,1,1
2015-04-16,2,1
2015-04-17,13,2
2015-04-20,2,1
2015-04-21,2,2
2015-04-22,3,2
2015-04-23,4,3
2015-04-24,7,1
2015-04-27,7,4
2015-04-28,3,2
2015-04-29,7,3
2015-04-30,12,6
2015-05-04,8,5
2015-05-05,14,6
2015-05-06,7,6
2015-05-07,6,5
2015-05-11,4,2
2015-05-12,4,3
2015-05-13,9,4
2015-05-14,2,1
2015-05-18,4,3
2015-05-19,6,5
2015-05-20,8,5
2015-05-21,6,4
2015-05-22,4,3
2015-05-26,12,5
2015-05-27,6,3
2015-05-28,4,3
2015-05-29,2,2
2015-06-01,6,3
2015-06-02,2,2
2015-06-03,3,2
2015-06-04,1,1
2015-06-05,2,1
2015-06-08,7,4
2015-06-10,4,4
2015-06-11,1,1
2015-06-12,5,2
2015-06-15,6,3
2015-06-16,1,1
2015-06-17,2,2
2015-06-18,1,1
2015-06-22,4,3
2015-06-23,1,1
2015-06-24,2,1
2015-06-25,4,3
2015-06-26,1,1
2015-06-29,2,1
2015-06-30,6,3
2015-07-01,2,2
2015-07-02,4,2
2015-07-06,2,2
2015-07-07,3,2
2015-07-08,3,2
2015-07-09,6,2
2015-07-10,8,4
2015-07-13,1,1
2015-07-16,7,2
2015-07-17,3,1
2015-07-20,1,1
2015-07-21,1,1
2015-07-22,1,1
2015-07-23,2,1
2015-07-24,2,2
2015-07-27,2,2
2015-07-28,2,2
2015-07-29,1,1
2015-07-30,1,1
2015-08-03,2,1
2015-08-04,3,2
2015-08-05,5,3
2015-08-06,4,2
2015-08-07,2,2
2015-08-08,1,1
2015-08-10,5,3
2015-08-11,2,2
2015-08-12,3,2
2015-08-13,6,4
2015-08-14,1,1
2015-08-17,5,3
2015-08-18,6,3
2015-08-19,1,1
2015-08-20,12,4
2015-08-21,8,4
2015-08-24,8,4
2015-08-25,7,5
2015-08-26,7,4
2015-08-27,6,4
2015-08-28,4,4
2015-08-31,5,5
2015-09-01,10,5
2015-09-02,5,4
2015-09-03,4,4
2015-09-04,6,3
2015-09-07,5,3
2015-09-08,1,1
2015-09-09,5,4
2015-09-10,1,1
2015-09-11,9,5
2015-09-14,3,2
2015-09-15,3,3
2015-09-16,1,1
2015-09-17,8,3
2015-09-18,7,1
2015-09-19,1,1
2015-09-20,1,1
2015-09-21,5,2
2015-09-22,5,3
2015-09-23,1,1
2015-09-24,7,3
2015-09-28,6,3
2015-09-29,4,2
2015-09-30,3,2
2015-10-01,5,3
2015-10-02,2,1
2015-10-05,2,1
2015-10-06,1,1
2015-10-07,1,1
2015-10-08,1,1
2015-10-09,3,2
2015-10-12,8,3
2015-10-13,4,2
2015-10-14,7,3
2015-10-15,1,1
2015-10-19,4,2
2015-10-20,1,1
2015-10-21,4,3
2015-10-22,2,1
2015-10-26,1,1
2015-10-27,4,1
2015-10-28,3,2
2015-10-29,2,2
2015-10-30,2,2
2015-11-02,2,2
2015-11-03,1,1
2015-11-04,4,3
2015-11-05,1,1
2015-11-06,2,2
2015-11-09,3,2
2015-11-10,6,3
2015-11-12,5,3
2015-11-13,2,1
2015-11-16,6,2
2015-11-17,2,1
2015-11-18,5,3
2015-11-19,2,1
2015-11-20,5,1
2015-11-24,3,1
2015-11-25,4,2
2015-11-26,13,4
2015-11-27,5,2
2015-11-30,3,2
2015-12-01,2,2
2015-12-03,1,1
2015-12-04,7,2
2015-12-07,3,1
2015-12-08,4,3
2015-12-09,3,2
2015-12-10,1,1
2015-12-11,1,1
2015-12-14,2,2
2015-12-15,5,2
2015-12-16,1,1
2015-12-17,2,1
2015-12-21,1,1
2015-12-23,3,2
2015-12-28,4,1
2015-12-29,1,1
2016-01-04,1,1
2016-01-05,4,3
2016-01-07,1,1
2016-01-08,6,3
2016-01-09,1,1
2016-01-10,19,1
2016-01-11,14,2
2016-01-12,5,2
2016-01-13,6,1
2016-01-14,1,1
2016-01-15,3,2
2016-01-18,5,3
2016-01-19,2,2
2016-01-20,1,1
2016-01-21,4,4
2016-01-22,4,3
2016-01-25,3,2
2016-01-26,4,4
2016-01-27,3,2
2016-01-28,6,6
2016-01-29,5,3
2016-02-01,5,2
2016-02-02,12,5
2016-02-03,1,1
2016-02-04,7,2
2016-02-05,1,1
2016-02-08,9,2
2016-02-10,2,1
2016-02-11,8,5
2016-02-12,4,3
2016-02-13,1,1
2016-02-15,3,2
2016-02-16,3,2
2016-02-18,4,3
2016-02-19,3,3
2016-02-22,4,3
2016-02-23,5,4
2016-02-24,1,1
2016-02-25,4,1
2016-02-26,5,2
2016-02-29,3,2
2016-03-01,1,1
2016-03-03,4,1
2016-03-04,3,2
2016-03-07,2,1
2016-03-08,3,2
2016-03-09,4,2
2016-03-10,4,2
2016-03-11,2,1
2016-03-15,1,1
2016-03-17,1,1
2016-03-18,1,1
2016-03-19,8,1
2016-03-21,4,2
2016-03-22,1,1
2016-03-23,4,2
2016-03-24,3,1
2016-03-25,9,5
2016-03-29,4,3
2016-03-30,6,3
2016-03-31,8,3
2016-04-01,4,4
2016-04-04,1,1
2016-04-05,4,3
2016-04-06,2,2
2016-04-07,4,4
2016-04-08,4,3
2016-04-11,4,2
2016-04-12,2,2
2016-04-13,2,2
2016-04-14,5,4
2016-04-15,4,3
2016-04-18,4,2
2016-04-19,7,5
2016-04-21,2,2
2016-04-22,5,2
2016-04-25,5,5
2016-04-26,3,2
2016-04-27,3,2
2016-04-28,6,3
2016-04-29,6,3
2016-05-03,7,4
2016-05-04,7,3
2016-05-09,4,4
2016-05-10,5,1
2016-05-11,4,2
2016-05-12,9,2
2016-05-13,3,1
2016-05-17,4,2
2016-05-18,4,3
2016-05-19,7,2
2016-05-20,7,4
2016-05-23,1,1
2016-05-24,7,2
2016-05-25,4,2
2016-05-26,5,1
2016-05-27,3,2
2016-05-30,4,2
2016-05-31,4,2
2016-06-01,2,2
2016-06-02,1,1
2016-06-03,1,1
2016-06-07,6,3
2016-06-08,3,2
2016-06-09,9,3
2016-06-10,3,2
2016-06-12,2,1
2016-06-13,5,3
2016-06-14,4,3
2016-06-15,2,2
2016-06-16,5,3
2016-06-17,6,3
2016-06-20,2,2
2016-06-21,2,2
2016-06-22,3,2
2016-06-24,4,4
2016-06-28,12,2
2016-06-29,1,1
2016-06-30,4,1
2016-07-01,2,1
2016-07-05,4,4
2016-07-06,2,2
2016-07-07,4,1
2016-07-08,3,2
2016-07-11,1,1
2016-07-18,1,1
2016-07-19,2,1
2016-07-20,4,3
2016-07-21,2,2
2016-07-22,5,2
2016-07-25,3,2
2016-07-26,3,3
2016-07-27,2,2
2016-07-29,2,2
2016-08-01,3,2
2016-08-02,7,3
2016-08-03,6,3
2016-08-04,4,4
2016-08-05,2,2
2016-08-09,3,1
2016-08-10,2,2
2016-08-11,9,3
2016-08-12,6,2
2016-08-16,5,3
2016-08-17,5,3
2016-08-18,5,2
2016-08-19,1,1
2016-08-22,2,2
2016-08-23,5,3
2016-08-24,5,3
2016-08-25,3,2
2016-08-26,1,1
2016-08-29,2,2
2016-08-30,2,2
2016-08-31,1,1
2016-09-01,9,4
2016-09-02,1,1
2016-09-03,1,1
2016-09-04,1,1
2016-09-05,3,1
