Mnemo,Value
CI_JOBS_FAILED_1W,3
CI_JOBS_GREEN_RATIO,3
PMI_ACCESS_INFO,5
PMI_DOC_INFO,5
PMI_ITS_INFO,5
PMI_REL_VOL,5
PMI_SCM_INFO,5
SCM_AUTHORS_1M,4
SCM_COMMITS_1M,4
SCM_MOD_LINES_1M,5
